Certificate name,Issued by,Type,Key size,Sig alg,Serial number,Expires,EV policy,Fingerprint (SHA-256)
AAA Certificate Services ,AAA Certificate Services ,RSA ,2048 bits ,SHA-1 ,01 ,"23:59:59 Dec 31, 2028 ",Not EV ,D7 A7 A0 FB 5D 7E 27 31 D7 71 E9 48 4E BC DE F7 1D 5F 0C 3E 0A 29 48 78 2B C8 3E E0 EA 69 9E F4 
AC RAIZ FNMT-RCM ,AC RAIZ FNMT-RCM ,RSA ,4096 bits ,SHA-256 ,5D 93 8D 30 67 36 C8 06 1D 1A C7 54 84 69 07 ,"00:00:00 Jan 1, 2030 ",Not EV ,EB C5 57 0C 29 01 8C 4D 67 B1 AA 12 7B AF 12 F7 03 B4 61 1E BC 17 B7 DA B5 57 38 94 17 9B 93 FA 
ACCVRAIZ1 ,ACCVRAIZ1 ,RSA ,4096 bits ,SHA-1 ,5E C3 B7 A6 43 7F A4 E0 ,"09:37:37 Dec 31, 2030 ",Not EV ,9A 6E C0 12 E1 A7 DA 9D BE 34 19 4D 47 8A D7 C0 DB 18 22 FB 07 1D F1 29 81 49 6E D1 04 38 41 13 
Actalis Authentication Root CA ,Actalis Authentication Root CA ,RSA ,4096 bits ,SHA-256 ,57 0A 11 97 42 C4 E3 CC ,"11:22:02 Sep 22, 2030 ",1.3.159.1.17.1 2.23.140.1.1 ,55 92 60 84 EC 96 3A 64 B9 6E 2A BE 01 CE 0B A8 6A 64 FB FE BC C7 AA B5 AF C1 55 B3 7F D7 60 66 
AffirmTrust Commercial ,AffirmTrust Commercial ,RSA ,2048 bits ,SHA-256 ,77 77 06 27 26 A9 B1 7C ,"14:06:06 Dec 31, 2030 ",1.3.6.1.4.1.34697.2.1 2.23.140.1.1 ,03 76 AB 1D 54 C5 F9 80 3C E4 B2 E2 01 A0 EE 7E EF 7B 57 B6 36 E8 A9 3C 9B 8D 48 60 C9 6F 5F A7 
AffirmTrust Networking ,AffirmTrust Networking ,RSA ,2048 bits ,SHA-1 ,7C 4F 04 39 1C D4 99 2D ,"14:08:24 Dec 31, 2030 ",1.3.6.1.4.1.34697.2.2 2.23.140.1.1 ,0A 81 EC 5A 92 97 77 F1 45 90 4A F3 8D 5D 50 9F 66 B5 E2 C5 8F CD B5 31 05 8B 0E 17 F3 F0 B4 1B 
AffirmTrust Premium ECC ,AffirmTrust Premium ECC ,ECDSA ,384 bits ,SHA-384 ,74 97 25 8A C7 3F 7A 54 ,"14:20:24 Dec 31, 2040 ",1.3.6.1.4.1.34697.2.4 2.23.140.1.1 ,BD 71 FD F6 DA 97 E4 CF 62 D1 64 7A DD 25 81 B0 7D 79 AD F8 39 7E B4 EC BA 9C 5E 84 88 82 14 23 
AffirmTrust Premium ,AffirmTrust Premium ,RSA ,4096 bits ,SHA-384 ,6D 8C 14 46 B1 A6 0A EE ,"14:10:36 Dec 31, 2040 ",1.3.6.1.4.1.34697.2.3 2.23.140.1.1 ,70 A7 3F 7F 37 6B 60 07 42 48 90 45 34 B1 14 82 D5 BF 0E 69 8E CC 49 8D F5 25 77 EB F2 E9 3B 9A 
Amazon Root CA 1 ,Amazon Root CA 1 ,RSA ,2048 bits ,SHA-256 ,06 6C 9F CF 99 BF 8C 0A 39 E2 F0 78 8A 43 E6 96 36 5B CA ,"00:00:00 Jan 17, 2038 ",2.23.140.1.1 ,8E CD E6 88 4F 3D 87 B1 12 5B A3 1A C3 FC B1 3D 70 16 DE 7F 57 CC 90 4F E1 CB 97 C6 AE 98 19 6E 
